belong,title,url,category,sub_category
Best Seller,No Show & Liner Socks,https://www.amazon.com/Best-Sellers-Womens-Petite-No-Show-Liner-Socks/zgbs/fashion/6114097011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,No Show & Liner Socks,https://www.amazon.com/Best-Sellers-Juniors-No-Show-Liner-Socks/zgbs/fashion/9650248011/ref=zg_bs_nav_5_9650243011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Socks & Hosiery"
Best Seller,Dress Suits,https://www.amazon.com/Best-Sellers-Juniors-Suit-Dresses/zgbs/fashion/9650257011/ref=zg_bs_nav_5_9650252011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers"
Best Seller,"Wallets, Card Cases & Money Organizers",https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Wallets-Card-Cases-Money-Organizers/zgbs/fashion/11300769011/ref=zg_bs_nav_5_11300729011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories"
Best Seller,Hats & Caps,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Hats-Caps/zgbs/fashion/11300748011/ref=zg_bs_nav_5_11300729011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories"
Best Seller,Gloves & Mittens,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Gloves-Mittens/zgbs/fashion/11300742011/ref=zg_bs_nav_5_11300729011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories"
Best Seller,Scarves & Wraps,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Scarves-Wraps/zgbs/fashion/11300737011/ref=zg_bs_nav_5_11300729011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories"
Best Seller, Sunglasses & Eyewear Accessories,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Sunglasses-Eyewear-Accessories/zgbs/fashion/11300731011/ref=zg_bs_nav_5_11300729011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories"
Best Seller,Belts,https://www.amazon.com/Best-Sellers-Womens-Contemporary-Designer-Belts/zgbs/fashion/11300730011/ref=zg_bs_nav_5_11300729011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Contemporary & Designer/Accessories"
Best Seller,Skirt Suits,https://www.amazon.com/Best-Sellers-Juniors-Skirt-Suits/zgbs/fashion/9650259011/ref=zg_bs_nav_5_9650252011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers"
Best Seller,Pantsuits,https://www.amazon.com/Best-Sellers-Juniors-Pantsuits/zgbs/fashion/9650258011/ref=zg_bs_nav_5_9650252011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers"
Best Seller, Blazers,https://www.amazon.com/Best-Sellers-Juniors-Blazers-Suit-Jackets/zgbs/fashion/9650253011/ref=zg_bs_nav_5_9650252011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers"
Best Seller,Slipper Socks,https://www.amazon.com/Best-Sellers-Juniors-Slipper-Socks/zgbs/fashion/9650249011/ref=zg_bs_nav_5_9650243011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Socks & Hosiery"
Best Seller,Sheers,https://www.amazon.com/Best-Sellers-Juniors-Sheers/zgbs/fashion/9650246011/ref=zg_bs_nav_5_9650243011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Socks & Hosiery"
Best Seller,Tights,https://www.amazon.com/Best-Sellers-Juniors-Tights/zgbs/fashion/9650250011/ref=zg_bs_nav_5_9650243011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Socks & Hosiery"
Best Seller,Panties,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Panties/zgbs/fashion/5605472011/ref=zg_bs_nav_6_5605467011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size/Maternity/Intimates"
Best Seller,Nursing & Maternity Bras,https://www.amazon.com/Best-Sellers-Plus-Size-Nursing-Maternity-Bras/zgbs/fashion/5605468011/ref=zg_bs_nav_6_5605467011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size/Intimates/Bras"
